Region,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,gender,Order_Priority_Encoded,Order_year,Order_month,Order_day,Category_Furniture,Category_Office Supplies,Category_Technology
Central,Phones,425.5695,3,0.15,-0.0405,57.2,M,2.0,2012,9,17,0,0,1
Central Asia,Copiers,581.4,9,0.0,91.9954,57.2,M,2.0,2014,6,5,0,0,1
Central,Bookcases,409.9992,3,0.32,-55.125,57.2,M,4.0,2014,6,30,1,0,0
Africa,Storage,581.4,4,0.0,91.9954,57.2,F,2.0,2014,8,1,0,1,0
Canada,Machines,266.25,1,0.0,79.86,57.2,F,4.0,2013,6,28,0,0,1
Central,Storage,581.4,3,0.2,-55.125,57.2,F,1.0,2012,2,6,0,1,0
Oceania,Copiers,259.524,2,0.1,8.604,57.2,F,3.0,2012,12,3,0,0,1
Central,Chairs,469.12,8,0.0,91.9954,57.2,M,4.0,2014,6,30,1,0,0
North Asia,Bookcases,581.4,4,0.0,91.9954,57.2,F,2.0,2013,6,3,1,0,0
Africa,Copiers,581.4,2,0.0,91.14,57.2,M,3.0,2014,12,9,0,0,1
EMEA,Accessories,512.7,2,0.0,91.9954,57.2,Unknown,4.0,2014,8,1,0,0,1
West,Tables,581.4,7,0.2,80.843,57.2,M,3.0,2013,6,15,1,0,0
EMEA,Machines,581.4,4,0.0,91.9954,57.2,M,2.0,2013,10,1,0,0,1
East,Chairs,581.4,9,0.0,91.9954,57.2,F,2.0,2014,4,22,1,0,0
Central,Copiers,581.4,7,0.002,91.9954,57.2,F,2.0,2011,3,25,0,0,1
EMEA,Accessories,259.83,1,0.0,91.9954,57.2,F,3.0,2013,6,14,0,0,1
West,Tables,581.4,5,0.0,91.9954,57.2,F,2.0,2014,8,29,1,0,0
North Asia,Appliances,581.4,3,0.0,91.9954,57.2,F,3.0,2011,8,18,0,1,0
Oceania,Storage,581.4,5,0.1,39.75,57.2,F,3.0,2014,4,22,0,1,0
Central,Tables,581.4,6,0.3,-55.125,57.2,M,2.0,2014,11,20,1,0,0
South,Chairs,581.4,9,0.0,91.9954,57.2,M,1.0,2013,5,7,1,0,0
Central,Bookcases,581.4,4,0.1,91.9954,57.2,F,3.0,2011,12,20,1,0,0
Oceania,Copiers,581.4,6,0.1,7.362,57.2,F,3.0,2013,4,12,0,0,1
Africa,Machines,437.58,6,0.0,91.9954,57.2,F,3.0,2011,11,17,0,0,1
West,Accessories,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2014,6,4,0,0,1
Africa,Copiers,581.4,4,0.0,91.9954,57.2,M,2.0,2014,12,4,0,0,1
Southeast Asia,Bookcases,581.4,2,0.07,-41.334,57.2,M,1.0,2014,10,19,1,0,0
Central Asia,Storage,581.4,5,0.0,91.9954,57.2,M,2.0,2012,10,19,0,1,0
Africa,Bookcases,470.772,4,0.5,-55.125,57.2,M,4.0,2013,7,3,1,0,0
Caribbean,Phones,292.8,6,0.0,67.32,57.2,F,4.0,2011,11,3,0,0,1
East,Storage,581.4,5,0.0,91.9954,57.2,M,3.0,2011,9,9,0,1,0
North Asia,Copiers,581.4,5,0.0,91.9954,57.2,M,2.0,2012,10,17,0,0,1
EMEA,Phones,581.4,2,0.0,91.9954,57.2,M,2.0,2014,2,19,0,0,1
Central,Bookcases,250.2,3,0.0,80.04,57.2,M,4.0,2013,7,24,1,0,0
North,Copiers,581.4,3,0.1,7.776,57.2,F,3.0,2012,8,3,0,0,1
Oceania,Accessories,242.856,4,0.4,-55.125,57.2,M,4.0,2014,8,2,0,0,1
Central,Bookcases,507.6,6,0.5,-55.125,57.2,M,3.0,2011,5,21,1,0,0
South,Tables,523.602,3,0.5,-55.125,57.2,M,3.0,2013,3,11,1,0,0
East,Chairs,581.4,3,0.3,-34.9176,57.2,Unknown,3.0,2011,11,24,1,0,0
Southeast Asia,Chairs,581.4,6,0.27,-55.125,57.2,M,2.0,2012,3,9,1,0,0
Southeast Asia,Tables,533.1588,2,0.47,-55.125,57.2,M,4.0,2011,6,30,1,0,0
North,Appliances,581.4,4,0.0,86.88,57.2,M,3.0,2012,12,13,0,1,0
Central,Copiers,581.4,3,0.15,-31.491,57.2,M,3.0,2012,2,9,0,0,1
Southeast Asia,Bookcases,581.4,2,0.07,91.9954,57.2,F,3.0,2013,3,5,1,0,0
West,Chairs,454.272,8,0.2,-55.125,57.2,M,2.0,2012,10,24,1,0,0
North Asia,Accessories,581.4,3,0.0,7.38,57.2,M,3.0,2013,9,25,0,0,1
Central,Bookcases,581.4,6,0.0,91.9954,57.2,M,2.0,2014,9,9,1,0,0
South,Chairs,429.92,4,0.0,91.9954,57.2,M,4.0,2014,10,28,1,0,0
Oceania,Bookcases,581.4,9,0.1,87.264,57.2,M,2.0,2012,11,8,1,0,0
Central,Storage,581.4,9,0.0,11.34,57.2,M,2.0,2012,4,11,0,1,0
Caribbean,Accessories,412.56,3,0.2,56.7,57.2,Unknown,4.0,2014,11,12,0,0,1
Africa,Storage,424.2,2,0.0,91.9954,57.2,M,4.0,2011,9,8,0,1,0
Central,Appliances,581.4,3,0.0,91.9954,57.2,M,3.0,2014,5,20,0,1,0
Central,Chairs,469.287,7,0.1,91.9954,57.2,F,3.0,2011,6,22,1,0,0
South,Accessories,338.1,7,0.0,84.42,57.2,M,4.0,2012,2,15,0,0,1
Central,Storage,581.4,5,0.1,91.9954,57.2,M,3.0,2012,6,19,0,1,0
Caribbean,Phones,333.78,3,0.0,83.4,57.2,M,3.0,2014,9,22,0,0,1
South,Tables,581.4,7,0.0,91.9954,57.2,M,2.0,2013,12,10,1,0,0
Africa,Storage,581.4,4,0.0,91.9954,57.2,F,4.0,2014,6,28,0,1,0
North Asia,Copiers,581.4,4,0.0,9.72,57.2,M,2.0,2014,11,29,0,0,1
EMEA,Bookcases,581.4,6,0.5,-55.125,57.2,Unknown,3.0,2013,12,10,1,0,0
North Asia,Machines,525.51,3,0.0,91.9954,57.2,M,2.0,2012,9,3,0,0,1
Central,Phones,461.6,5,0.0,91.9954,57.2,M,2.0,2014,1,16,0,0,1
Africa,Bookcases,581.4,4,0.0,91.9954,57.2,F,3.0,2012,12,9,1,0,0
North Asia,Accessories,581.4,8,0.0,91.9954,57.2,M,2.0,2013,4,5,0,0,1
Central Asia,Appliances,581.4,3,0.0,91.9954,57.2,M,2.0,2012,8,1,0,1,0
North,Phones,581.4,3,0.0,39.06,57.2,M,3.0,2011,5,28,0,0,1
South,Accessories,581.4,4,0.0,91.9954,57.2,M,3.0,2011,5,13,0,0,1
East,Storage,581.4,9,0.0,91.9954,57.2,F,2.0,2013,1,23,0,1,0
Central,Storage,581.4,9,0.1,91.9954,57.2,M,3.0,2013,11,25,0,1,0
Oceania,Appliances,581.4,9,0.1,-42.504,57.2,M,2.0,2014,1,7,0,1,0
Central,Copiers,549.927,6,0.5,-55.125,57.2,M,3.0,2011,2,2,0,0,1
Central,Copiers,497.16,4,0.0,91.9954,57.2,M,3.0,2013,11,28,0,0,1
North Asia,Storage,538.44,4,0.0,91.9954,57.2,F,3.0,2013,2,27,0,1,0
EMEA,Bookcases,287.94,2,0.0,20.1,57.2,M,3.0,2013,9,25,1,0,0
East,Appliances,581.4,3,0.0,91.9954,57.2,F,2.0,2013,12,2,0,1,0
Central,Machines,581.4,6,0.0,91.9954,57.2,M,2.0,2012,11,16,0,0,1
West,Chairs,403.92,5,0.2,25.245,57.2,F,4.0,2013,12,12,1,0,0
Central Asia,Tables,581.4,3,0.0,0.0,57.2,F,2.0,2012,1,7,1,0,0
Central,Accessories,465.24,4,0.0,91.9954,57.2,Unknown,3.0,2014,10,20,0,0,1
EMEA,Bookcases,581.4,2,0.0,79.68,57.2,M,3.0,2011,5,14,1,0,0
Oceania,Chairs,581.4,6,0.1,-55.125,57.2,F,2.0,2011,6,3,1,0,0
Africa,Copiers,520.56,4,0.0,91.9954,57.2,M,4.0,2011,11,16,0,0,1
EMEA,Phones,252.18,2,0.0,42.84,57.2,Unknown,4.0,2014,4,9,0,0,1
North Asia,Phones,500.49,3,0.0,35.01,57.2,Unknown,3.0,2013,12,13,0,0,1
North,Copiers,581.4,3,0.002,91.9954,57.2,F,1.0,2011,10,13,0,0,1
Central,Accessories,581.4,5,0.0,91.9954,57.2,M,2.0,2014,1,13,0,0,1
South,Storage,581.4,7,0.4,59.22,57.2,M,3.0,2011,1,22,0,1,0
Central,Machines,581.4,3,0.0,91.9954,57.2,M,2.0,2014,1,6,0,0,1
North,Accessories,581.4,4,0.0,0.0,57.2,M,3.0,2014,4,8,0,0,1
North,Appliances,581.4,5,0.0,91.9954,57.2,Unknown,1.0,2012,12,20,0,1,0
Southeast Asia,Tables,581.4,6,0.5,-55.125,57.2,M,2.0,2013,1,9,1,0,0
West,Chairs,435.168,4,0.2,-55.125,57.2,M,4.0,2013,1,30,1,0,0
Central,Storage,581.4,7,0.1,17.787,57.2,M,1.0,2014,6,9,0,1,0
Central,Bookcases,581.4,8,0.0,91.9954,57.2,M,3.0,2013,10,9,1,0,0
South,Phones,581.4,7,0.1,91.9954,57.2,M,3.0,2011,9,12,0,0,1
West,Chairs,581.4,2,0.2,50.098,57.2,F,3.0,2013,9,19,1,0,0
Central,Appliances,477.54,7,0.0,91.9954,57.2,Unknown,3.0,2012,3,26,0,1,0
Central,Furnishings,581.4,6,0.0,91.9954,57.2,Unknown,3.0,2012,2,7,1,0,0
Southeast Asia,Appliances,581.4,4,0.17,91.9954,57.2,M,2.0,2013,7,16,0,1,0
North Asia,Phones,581.4,2,0.0,91.9954,57.2,M,3.0,2013,9,25,0,0,1
EMEA,Chairs,581.4,6,0.5,-55.125,57.2,M,3.0,2014,5,7,1,0,0
South,Copiers,581.4,4,0.002,91.9954,57.2,M,3.0,2012,11,13,0,0,1
Central,Chairs,581.4,5,0.1,-55.125,57.2,M,3.0,2011,3,30,1,0,0
North,Chairs,581.4,7,0.2,-55.125,57.2,M,4.0,2014,12,1,1,0,0
North,Machines,576.6,5,0.0,57.6,57.2,M,3.0,2012,9,28,0,0,1
South,Phones,418.446,7,0.1,69.636,57.2,M,3.0,2014,12,7,0,0,1
Africa,Appliances,526.08,1,0.0,91.9954,57.2,M,4.0,2011,4,8,0,1,0
Central,Appliances,581.4,3,0.0,91.9954,57.2,F,2.0,2011,11,16,0,1,0
Central,Bookcases,581.4,2,0.1,-41.52,57.2,M,1.0,2014,12,8,1,0,0
Central,Binders,453.06,9,0.0,27.0,57.2,F,4.0,2011,3,24,0,1,0
Central,Appliances,581.4,3,0.1,8.28,57.2,Unknown,3.0,2014,7,12,0,1,0
Africa,Tables,581.4,4,0.0,91.9954,57.2,M,1.0,2014,5,28,1,0,0
Central,Bookcases,581.4,6,0.1,91.9954,57.2,F,3.0,2011,12,31,1,0,0
Central,Art,439.2,8,0.0,78.96,57.2,F,4.0,2011,8,4,0,1,0
Africa,Copiers,527.46,2,0.0,91.9954,57.2,F,3.0,2012,8,10,0,0,1
North,Machines,581.4,3,0.0,91.9954,57.2,M,3.0,2014,10,6,0,0,1
North Asia,Chairs,521.82,3,0.0,91.9954,57.2,F,3.0,2013,2,27,1,0,0
Central,Chairs,581.4,6,0.4,-55.125,57.2,F,3.0,2013,10,4,1,0,0
North,Phones,581.4,5,0.0,35.7,57.2,M,3.0,2012,6,18,0,0,1
North Asia,Copiers,581.4,2,0.0,91.9954,57.2,M,1.0,2013,4,17,0,0,1
Oceania,Chairs,581.4,6,0.1,91.9954,57.2,M,2.0,2014,11,16,1,0,0
Central,Phones,581.4,3,0.2,91.9954,57.2,F,2.0,2012,6,26,0,0,1
North,Copiers,581.4,6,0.002,91.9954,57.2,M,2.0,2012,7,9,0,0,1
EMEA,Copiers,581.4,4,0.0,91.9954,57.2,M,1.0,2011,6,23,0,0,1
Central Asia,Phones,581.4,7,0.0,91.9954,57.2,F,2.0,2013,8,1,0,0,1
Central Asia,Storage,414.72,2,0.0,8.28,57.2,M,4.0,2013,9,13,0,1,0
South,Tables,581.4,8,0.5,-55.125,57.2,M,3.0,2011,8,31,1,0,0
Oceania,Copiers,575.856,2,0.1,91.9954,57.2,M,1.0,2014,1,25,0,0,1
EMEA,Bookcases,581.4,4,0.0,73.08,57.2,M,2.0,2013,12,25,1,0,0
Canada,Machines,300.18,1,0.0,33.0,57.2,M,4.0,2014,10,20,0,0,1
Central,Appliances,581.4,6,0.1,91.9954,57.2,F,2.0,2012,12,25,0,1,0
Southeast Asia,Furnishings,481.14,6,0.25,-55.125,57.2,M,3.0,2012,11,14,1,0,0
Southeast Asia,Machines,581.4,9,0.0,91.9954,57.2,M,3.0,2011,7,19,0,0,1
EMEA,Bookcases,439.5,1,0.0,17.58,57.2,M,4.0,2014,7,23,1,0,0
West,Machines,581.4,6,0.2,91.9954,57.2,M,3.0,2011,12,29,0,0,1
West,Phones,581.4,3,0.2,51.1485,57.2,M,2.0,2011,12,24,0,0,1
Central,Copiers,392.67,3,0.5,-55.125,57.2,F,4.0,2011,8,25,0,0,1
Central Asia,Furnishings,374.85,7,0.0,91.9954,57.2,F,3.0,2014,5,8,1,0,0
East,Paper,419.4,4,0.0,91.9954,57.2,F,3.0,2014,9,4,0,1,0
South,Phones,581.4,3,0.0,91.9954,57.2,M,3.0,2011,5,21,0,0,1
Oceania,Bookcases,581.4,6,0.4,-55.125,57.2,M,3.0,2013,7,11,1,0,0
Central,Appliances,581.4,3,0.0,91.9954,57.2,F,2.0,2014,12,23,0,1,0
Oceania,Chairs,581.4,3,0.1,-41.796,57.2,M,2.0,2013,7,17,1,0,0
North,Copiers,581.4,7,0.002,91.9954,57.2,F,2.0,2012,6,4,0,0,1
East,Chairs,581.4,6,0.1,91.9954,57.2,M,2.0,2014,11,25,1,0,0
Central,Binders,581.4,3,0.0,91.9954,57.2,M,2.0,2014,9,8,0,1,0
Africa,Appliances,581.4,2,0.0,43.44,57.2,M,3.0,2011,9,21,0,1,0
Central,Chairs,581.4,6,0.4,-55.125,57.2,F,2.0,2013,11,15,1,0,0
South,Copiers,581.4,6,0.002,17.27328,57.2,M,2.0,2012,4,20,0,0,1
Central Asia,Phones,581.4,5,0.0,91.9954,57.2,M,3.0,2013,11,25,0,0,1
South,Phones,581.4,3,0.0,91.9954,57.2,F,3.0,2011,3,11,0,0,1
Central,Machines,581.4,6,0.15,91.9954,57.2,M,2.0,2014,10,13,0,0,1
Oceania,Copiers,572.454,3,0.4,-55.125,57.2,F,3.0,2013,10,4,0,0,1
Central Asia,Copiers,581.4,4,0.0,91.9954,57.2,M,3.0,2013,4,26,0,0,1
North Asia,Storage,402.39,3,0.0,91.9954,57.2,M,4.0,2013,11,20,0,1,0
Central,Phones,581.4,4,0.5,-55.125,57.2,F,2.0,2013,8,13,0,0,1
Central,Bookcases,581.4,5,0.1,91.9954,57.2,M,3.0,2012,8,9,1,0,0
Central Asia,Copiers,581.4,2,0.0,69.66,57.2,F,3.0,2014,11,13,0,0,1
North Asia,Copiers,581.4,6,0.0,34.56,57.2,M,2.0,2014,12,12,0,0,1
Central Asia,Bookcases,434.16,3,0.0,73.8,57.2,M,3.0,2012,12,20,1,0,0
East,Appliances,581.4,8,0.2,64.6272,57.2,M,3.0,2014,8,25,0,1,0
Central,Phones,251.944,7,0.2,88.1804,57.2,M,4.0,2011,3,30,0,0,1
Oceania,Phones,581.4,8,0.1,91.9954,57.2,M,2.0,2013,11,1,0,0,1
Central,Tables,581.4,8,0.3,-55.125,57.2,F,2.0,2013,11,6,1,0,0
Africa,Storage,581.4,8,0.0,72.0,57.2,M,3.0,2013,12,27,0,1,0
South,Bookcases,581.4,5,0.0,91.9954,57.2,M,2.0,2014,12,10,1,0,0
North,Phones,581.4,5,0.0,91.9954,57.2,M,3.0,2013,4,16,0,0,1
North Asia,Machines,581.4,5,0.0,91.9954,57.2,M,2.0,2013,8,27,0,0,1
Caribbean,Tables,537.6,3,0.0,91.9954,57.2,F,3.0,2014,1,14,1,0,0
South,Accessories,479.97,3,0.0,91.9954,57.2,M,3.0,2011,7,5,0,0,1
EMEA,Copiers,526.62,2,0.0,10.5,57.2,M,3.0,2014,4,8,0,0,1
Central,Copiers,581.4,6,0.402,-55.125,57.2,F,3.0,2013,11,9,0,0,1
North Asia,Tables,581.4,4,0.3,91.9954,57.2,F,3.0,2011,5,24,1,0,0
East,Storage,295.4,5,0.2,-55.125,57.2,M,4.0,2013,9,18,0,1,0
North,Copiers,581.4,4,0.0,91.9954,57.2,M,2.0,2013,10,29,0,0,1
Africa,Phones,246.6,2,0.0,61.62,57.2,M,4.0,2012,12,13,0,0,1
Africa,Accessories,335.52,4,0.0,83.88,57.2,F,4.0,2013,1,28,0,0,1
West,Chairs,581.4,3,0.2,71.772,57.2,Unknown,3.0,2011,7,22,1,0,0
West,Phones,581.4,8,0.2,50.396,57.2,M,3.0,2011,8,12,0,0,1
Caribbean,Tables,529.32,3,0.0,91.9954,57.2,M,3.0,2014,7,4,1,0,0
Africa,Copiers,581.4,2,0.0,91.9954,57.2,M,3.0,2014,7,5,0,0,1
East,Machines,449.1,3,0.5,-55.125,57.2,M,4.0,2013,3,14,0,0,1
South,Storage,581.4,6,0.1,91.9954,57.2,Unknown,4.0,2011,5,12,0,1,0
Central,Copiers,581.4,3,0.0,91.9954,57.2,M,3.0,2013,8,17,0,0,1
North Asia,Tables,581.4,3,0.3,-55.125,57.2,F,3.0,2014,12,26,1,0,0
Oceania,Chairs,581.4,4,0.1,77.748,57.2,M,4.0,2013,8,29,1,0,0
Central,Chairs,476.361,3,0.1,-0.009,57.2,F,1.0,2014,4,26,1,0,0
EMEA,Storage,489.96,6,0.5,-55.125,57.2,M,3.0,2012,11,5,0,1,0
East,Accessories,431.976,3,0.2,-55.125,57.2,F,3.0,2013,5,4,0,0,1
East,Chairs,386.68,2,0.3,-5.524,57.2,M,4.0,2013,3,14,1,0,0
South,Phones,581.4,2,0.0,91.9954,57.2,M,2.0,2011,5,24,0,0,1
Oceania,Accessories,463.176,9,0.4,-55.125,57.2,M,3.0,2012,10,23,0,0,1
Central Asia,Copiers,581.4,5,0.0,91.9954,57.2,M,4.0,2013,8,16,0,0,1
Central,Bookcases,581.4,9,0.5,-55.125,57.2,Unknown,2.0,2014,9,8,1,0,0
Central,Storage,581.4,8,0.2,-55.125,57.2,M,1.0,2013,8,24,0,1,0
South,Appliances,581.4,3,0.4,-55.125,57.2,F,2.0,2012,11,11,0,1,0
North Asia,Tables,581.4,3,0.2,91.9954,57.2,M,2.0,2013,1,5,1,0,0
EMEA,Storage,581.4,6,0.0,91.9954,57.2,F,3.0,2013,11,9,0,1,0
West,Storage,581.4,7,0.0,91.9954,57.2,Unknown,2.0,2011,3,18,0,1,0
Southeast Asia,Appliances,581.4,3,0.17,-55.125,57.2,M,2.0,2013,10,17,0,1,0
Central Asia,Accessories,581.4,6,0.0,36.36,57.2,Unknown,3.0,2014,8,26,0,0,1
Africa,Phones,581.4,1,0.0,91.9954,57.2,F,3.0,2013,7,10,0,0,1
South,Bookcases,296.34,3,0.0,41.46,57.2,M,2.0,2014,5,31,1,0,0
Central,Chairs,581.4,8,0.1,91.9954,57.2,M,2.0,2014,9,26,1,0,0
Oceania,Tables,401.976,3,0.5,-55.125,57.2,F,2.0,2013,10,11,1,0,0
Central,Bookcases,581.4,7,0.0,91.9954,57.2,M,2.0,2014,2,26,1,0,0
Central,Storage,581.4,7,0.0,29.54,57.2,M,2.0,2013,5,6,0,1,0
North Asia,Bookcases,581.4,3,0.0,91.9954,57.2,F,2.0,2014,9,3,1,0,0
Central,Copiers,581.4,4,0.402,-55.125,57.2,M,1.0,2012,12,25,0,0,1
Central,Chairs,581.4,9,0.5,-55.125,57.2,M,2.0,2012,11,2,1,0,0
Central,Chairs,581.4,8,0.5,-55.125,57.2,M,3.0,2014,12,15,1,0,0
Oceania,Appliances,442.26,5,0.1,91.9954,57.2,F,3.0,2012,6,13,0,1,0
Central,Art,494.1,9,0.0,88.83,57.2,M,3.0,2013,9,5,0,1,0
Africa,Bookcases,581.4,4,0.0,91.9954,57.2,F,2.0,2012,10,15,1,0,0
EMEA,Chairs,581.4,9,0.5,-55.125,57.2,M,2.0,2013,7,23,1,0,0
Oceania,Art,410.88,8,0.0,12.24,57.2,M,3.0,2014,8,26,0,1,0
Central,Storage,581.4,4,0.1,91.9954,57.2,F,4.0,2014,1,17,0,1,0
West,Bookcases,581.4,6,0.15,-36.294,57.2,M,3.0,2011,10,28,1,0,0
Central,Bookcases,581.4,4,0.1,91.9954,57.2,M,3.0,2014,4,14,1,0,0
North,Bookcases,581.4,3,0.2,31.2,57.2,F,4.0,2014,8,22,1,0,0
North,Machines,426.3,5,0.0,4.2,57.2,F,3.0,2013,10,21,0,0,1
North,Copiers,581.4,7,0.002,91.9954,57.2,M,2.0,2011,8,22,0,0,1
Oceania,Bookcases,581.4,7,0.1,-0.021,57.2,M,2.0,2014,10,25,1,0,0
Central,Phones,364.14,3,0.0,91.9954,57.2,F,3.0,2013,11,20,0,0,1
Caribbean,Copiers,581.4,7,0.002,91.9954,57.2,Unknown,1.0,2012,4,19,0,0,1
North,Bookcases,581.4,4,0.2,41.232,57.2,F,3.0,2014,11,21,1,0,0
North Asia,Accessories,245.13,1,0.0,85.77,57.2,M,4.0,2012,6,5,0,0,1
Central,Bookcases,330.64,4,0.0,79.28,57.2,M,4.0,2012,8,6,1,0,0
Central,Machines,351.09,3,0.0,84.24,57.2,F,3.0,2011,11,24,0,0,1
Central,Storage,581.4,6,0.5,-55.125,57.2,M,3.0,2013,5,1,0,1,0
Central,Appliances,581.4,2,0.0,90.84,57.2,M,2.0,2014,12,25,0,1,0
South,Phones,575.92,2,0.2,71.99,57.2,F,3.0,2011,7,1,0,0,1
Canada,Accessories,581.4,6,0.0,91.9954,57.2,M,2.0,2014,2,18,0,0,1
Africa,Tables,581.4,2,0.0,91.9954,57.2,M,2.0,2013,10,17,1,0,0
Africa,Accessories,581.4,4,0.0,91.9954,57.2,F,3.0,2011,10,1,0,0,1
Southeast Asia,Copiers,581.4,3,0.07,91.9954,57.2,F,2.0,2014,8,27,0,0,1
Southeast Asia,Bookcases,581.4,6,0.37,-55.125,57.2,M,2.0,2014,11,20,1,0,0
North,Appliances,581.4,6,0.0,91.9954,57.2,Unknown,3.0,2013,8,27,0,1,0
Central,Accessories,579.6,9,0.0,91.9954,57.2,M,3.0,2012,2,18,0,0,1
Africa,Appliances,541.44,6,0.0,91.98,57.2,M,3.0,2011,4,14,0,1,0
West,Accessories,581.4,2,0.0,91.9954,57.2,F,3.0,2014,8,19,0,0,1
North,Art,342.51,7,0.0,91.9954,57.2,F,3.0,2012,7,6,0,1,0
Africa,Storage,581.4,4,0.0,91.9954,57.2,M,2.0,2012,7,3,0,1,0
North Asia,Chairs,581.4,2,0.0,91.38,57.2,M,2.0,2012,11,1,1,0,0
Southeast Asia,Storage,527.0085,3,0.17,91.9954,57.2,F,3.0,2012,1,26,0,1,0
Oceania,Copiers,528.444,4,0.1,88.044,57.2,M,2.0,2014,8,5,0,0,1
Central,Storage,548.694,3,0.1,91.9954,57.2,M,3.0,2014,9,19,0,1,0
North,Chairs,581.4,2,0.1,91.9954,57.2,M,2.0,2012,6,28,1,0,0
Southeast Asia,Chairs,334.3035,1,0.27,-55.125,57.2,F,3.0,2011,1,26,1,0,0
Africa,Tables,581.4,2,0.0,91.9954,57.2,M,2.0,2014,8,4,1,0,0
Canada,Machines,581.4,2,0.0,18.06,57.2,M,3.0,2011,11,9,0,0,1
Central,Chairs,581.4,5,0.1,23.49,57.2,F,2.0,2014,6,17,1,0,0
North,Copiers,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2013,10,8,0,0,1
Oceania,Copiers,581.4,5,0.1,-37.83,57.2,F,2.0,2014,10,8,0,0,1
North Asia,Bookcases,581.4,5,0.0,31.35,57.2,F,3.0,2014,7,1,1,0,0
Central,Appliances,555.228,2,0.1,91.9954,57.2,F,3.0,2014,9,18,0,1,0
Central Asia,Phones,581.4,7,0.0,91.9954,57.2,F,2.0,2013,9,24,0,0,1
Southeast Asia,Bookcases,581.4,3,0.07,91.9954,57.2,Unknown,2.0,2014,10,20,1,0,0
Central,Copiers,581.4,5,0.002,85.7746,57.2,M,2.0,2013,5,29,0,0,1
North Asia,Chairs,581.4,5,0.0,26.55,57.2,M,3.0,2012,8,23,1,0,0
Oceania,Chairs,581.4,3,0.1,-55.125,57.2,F,2.0,2014,6,24,1,0,0
South,Storage,218.16,5,0.1,7.26,57.2,M,4.0,2012,4,26,0,1,0
South,Bookcases,581.4,2,0.0,91.9954,57.2,M,3.0,2013,9,4,1,0,0
Oceania,Bookcases,353.16,2,0.1,39.24,57.2,F,4.0,2011,12,29,1,0,0
East,Machines,581.4,2,0.0,91.9954,57.2,M,3.0,2012,11,9,0,0,1
Central,Chairs,581.4,3,0.0,91.9954,57.2,M,1.0,2013,10,13,1,0,0
Central,Copiers,581.4,6,0.002,91.9954,57.2,M,4.0,2011,10,3,0,0,1
Oceania,Tables,581.4,4,0.0,43.2,57.2,F,2.0,2011,12,16,1,0,0
North,Chairs,385.76,5,0.2,38.56,57.2,M,3.0,2014,12,9,1,0,0
Central,Copiers,526.62,2,0.0,10.5,57.2,M,2.0,2011,1,15,0,0,1
North Asia,Copiers,581.4,6,0.0,91.9954,57.2,M,2.0,2014,11,26,0,0,1
West,Storage,359.32,4,0.0,7.1864,57.2,F,3.0,2011,5,27,0,1,0
Central,Chairs,581.4,3,0.1,13.617,57.2,M,2.0,2014,6,30,1,0,0
North Asia,Phones,581.4,6,0.0,91.9954,57.2,M,3.0,2011,9,1,0,0,1
Central,Phones,581.4,3,0.5,-55.125,57.2,M,2.0,2013,9,20,0,0,1
West,Binders,398.352,3,0.2,91.9954,57.2,F,4.0,2012,10,31,0,1,0
Central,Appliances,581.4,5,0.1,-55.125,57.2,M,2.0,2014,12,5,0,1,0
Oceania,Chairs,581.4,3,0.1,91.9954,57.2,M,2.0,2013,12,25,1,0,0
North,Copiers,581.4,6,0.0,31.5,57.2,F,2.0,2013,6,10,0,0,1
North Asia,Bookcases,581.4,8,0.0,91.9954,57.2,F,2.0,2014,11,14,1,0,0
EMEA,Bookcases,581.4,2,0.0,36.42,57.2,F,3.0,2011,8,4,1,0,0
South,Machines,581.4,7,0.4,-55.125,57.2,Unknown,2.0,2014,8,14,0,0,1
South,Storage,581.4,6,0.2,-55.125,57.2,M,3.0,2012,10,10,0,1,0
North Asia,Copiers,581.4,3,0.0,91.9954,57.2,F,2.0,2013,6,4,0,0,1
Africa,Copiers,581.4,2,0.0,91.9954,57.2,M,2.0,2014,8,29,0,0,1
Central,Art,381.78,7,0.0,91.9954,57.2,F,3.0,2014,10,14,0,1,0
North,Bookcases,581.4,6,0.0,91.9954,57.2,M,2.0,2011,11,4,1,0,0
EMEA,Copiers,581.4,2,0.0,91.9954,57.2,M,2.0,2014,6,5,0,0,1
EMEA,Bookcases,581.4,4,0.0,73.08,57.2,M,2.0,2013,3,18,1,0,0
Central,Phones,581.4,5,0.2,51.4975,57.2,M,2.0,2014,10,24,0,0,1
EMEA,Machines,581.4,4,0.0,91.9954,57.2,Unknown,3.0,2014,1,24,0,0,1
Africa,Tables,581.4,8,0.5,-55.125,57.2,M,2.0,2012,12,24,1,0,0
EMEA,Bookcases,581.4,9,0.0,91.9954,57.2,Unknown,2.0,2011,8,4,1,0,0
North,Machines,581.4,3,0.0,91.9954,57.2,M,3.0,2013,11,19,0,0,1
Central,Copiers,581.4,4,0.002,91.9954,57.2,M,2.0,2013,3,27,0,0,1
South,Accessories,581.4,9,0.2,91.9954,57.2,M,3.0,2012,9,18,0,0,1
EMEA,Phones,581.4,1,0.0,91.9954,57.2,M,2.0,2014,12,17,0,0,1
Central,Chairs,516.0,8,0.5,-55.125,57.2,F,4.0,2014,12,29,1,0,0
